,index_character,name,poster,hero,url,group
18,19,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Archibald Dyker (Earth-138),https://static.wikia.nocookie.net/intothespiderverse/images/b/bc/Archibald_Dyker_%28Earth-138B%29.webp/revision/latest?cb=20230831015430,Мультфильмы
19,20,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Atari Norman Osborn,https://static.wikia.nocookie.net/intothespiderverse/images/c/cc/AtariGoblin.png/revision/latest/scale-to-width-down/350?cb=20230716223844,Мультфильмы
20,21,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Baked Clamurai,https://static.wikia.nocookie.net/intothespiderverse/images/e/e2/Baked_Clamurai_%28E-8311%29_001.png/revision/latest/scale-to-width-down/350?cb=20210720034716,Мультфильмы
21,22,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Benjamin Parker (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/a/ad/Ben_Parker_%28E-1610%29_001.png/revision/latest/scale-to-width-down/350?cb=20210614032808,Мультфильмы
22,23,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Benjamin Parker (Earth-616),https://static.wikia.nocookie.net/intothespiderverse/images/a/ab/Ben_Parker_%28Earth-616%29_from_Spider-Man_Across_the_Spider-Verse.png/revision/latest/scale-to-width-down/350?cb=20230605230253,Мультфильмы
23,24,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Benjamin Parker (Earth-65),https://static.wikia.nocookie.net/intothespiderverse/images/d/d1/Ben_Parker_%28Earth-65%29_from_Spider-Man_Across_the_Spider-Verse.png/revision/latest/scale-to-width-down/350?cb=20230919100002,Мультфильмы
24,25,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Benjamin Parker (Earth-90214),,Мультфильмы
25,26,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Betty Brant,https://static.wikia.nocookie.net/intothespiderverse/images/b/b3/Betty_Brant_%28Earth-65%29_from_Across_the_Spider-Verse.png/revision/latest/scale-to-width-down/350?cb=20230807200447,Мультфильмы
26,27,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Big Wheel,https://static.wikia.nocookie.net/intothespiderverse/images/d/d4/Big_Wheel.png/revision/latest/scale-to-width-down/350?cb=20230912132011,Мультфильмы
27,28,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Blackie Drago,,Мультфильмы
28,29,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Bombastic Bag Man,https://static.wikia.nocookie.net/intothespiderverse/images/4/42/Bombasticbagman.jpg/revision/latest?cb=20230714025304,Мультфильмы
29,30,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Boomerang 2 (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/1/1b/Boomerang_2_%28Earth-Unknown%29.webp/revision/latest/scale-to-width-down/350?cb=20230826213216,Мультфильмы
30,31,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Boring Rhino,https://static.wikia.nocookie.net/intothespiderverse/images/1/1d/Regular_Rhino.png/revision/latest/scale-to-width-down/350?cb=20230721165705,Мультфильмы
31,32,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Brian Hibbs,https://static.wikia.nocookie.net/intothespiderverse/images/e/e1/Kangaroo_%28Earth-Unknown%29.png/revision/latest/scale-to-width-down/158?cb=20230825050201,Мультфильмы
32,33,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Hobart Brown (Earth-138),https://static.wikia.nocookie.net/intothespiderverse/images/4/48/Hobiebrown.jpg/revision/latest/scale-to-width-down/350?cb=20231001044404,Мультфильмы
33,34,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Category:Bruce Banner,,Мультфильмы
34,35,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Bruce Banner (Earth-616),https://static.wikia.nocookie.net/intothespiderverse/images/4/4c/Earth-616B_Storyboard.png/revision/latest/scale-to-width-down/350?cb=20230918115742,Мультфильмы
